user_id,distinct_umid_cnt_14d,distinct_login_cnt_14d,distinct_ipisp_cnt_14d
400088922011,3,14,2
400089516515,5,75,1
400095474501,3,19,3
400098630064,0,1,1
400100724191,3,8,3
400113807141,3,17,1
400114467313,3,13,2
400117230281,5,14,3
400129269074,6,16,2
400132866319,3,11,1
400133154425,4,30,3
400134792251,0,3,1
400141959447,3,15,1
400153113805,3,25,1
400156179730,3,17,2
400166421761,6,9,3
400184502212,3,20,1
400213143528,3,19,3
400215483928,3,16,1
400218288962,3,6,2
400226286281,3,12,1
400226631744,3,23,2
400226889460,3,15,1
400228311106,0,17,1
400258050586,3,14,1
400259448021,3,13,2
400280436417,3,20,2
400299735915,3,7,2
400304091747,4,30,2
400313199442,3,18,2
400335909834,0,18,1
400339086198,0,2,1
400353465358,3,12,1
400353936509,3,25,1
400354044401,3,11,1
400356738620,0,21,2
400367304357,3,30,1
400370490087,3,74,6
400372935847,0,28,2
400378395083,5,17,2
400388004828,3,10,1
400395030139,3,31,2
400633953893,0,17,2
400645731286,0,32,2
410407932149,4,21,1
410409132190,3,18,2
410422395422,4,20,4
410424066937,3,3,2
410424996419,5,57,4
410425878891,0,4,1
410439645647,8,14,2
410455845310,0,1,1
410459997113,3,29,1
410460240517,0,12,1
410462535108,4,7,1
410469363997,3,29,2
410474016329,3,9,1
410475147971,0,19,1
410475354793,8,8,2
410476290504,3,6,2
4276563,3,22,4
516849,0,20,3
59153,3,47,2
17464389,0,4,1
19017556,3,11,1
1962719,3,8,1
23724211,3,9,2
24191809,0,4,1
2457071,3,16,2
2626947,3,7,3
3005961,3,8,1
30872080,3,30,2
31537344,3,16,4
400002844238,3,5,2
400009412437,3,16,4
400017636341,3,16,2
400018204689,3,15,1
400043520255,3,11,1
400048737112,3,30,3
400051701022,0,5,1
400055538061,3,13,2
400057584341,4,16,1
400058253490,0,1,1
400063857814,3,13,3
400064301708,4,5,3
400066095398,3,20,2
400068369314,3,21,2
400071312441,3,24,3
400072851693,3,16,2
400076907840,0,4,1
400077546752,3,15,1
400078227382,3,25,2
400081401650,3,17,3
400083507744,3,16,3
400084848693,4,10,2
400091247953,4,32,3
400099515394,3,7,2
400116054914,3,26,2
400124340892,3,13,2
400130622278,3,14,1
400138023191,3,12,2
400138512331,3,16,2
400165887854,3,23,2
400166793060,4,19,3
400167294082,3,39,1
400175826056,0,50,2
400177443328,3,24,1
400195431129,4,14,1
400198032622,4,15,2
400198389107,3,28,2
400198902666,3,30,2
400203867741,3,26,2
400214181937,3,10,3
400215741185,8,12,3
400224054958,6,8,3
400227795399,3,12,3
400243626937,0,8,1
400244853694,0,12,1
400255644069,3,41,3
400256967894,3,20,3
400259550118,3,26,3
400260318142,3,6,2
400278852987,0,21,3
400280412855,3,15,1
400289133091,0,21,1
400302978414,3,15,3
400321083845,3,21,2
400325259339,4,20,2
400332978227,3,7,2
400357887066,0,16,1
400374492224,3,10,3
400378878748,3,3,1
400396620172,3,15,2
400635309838,0,52,2
400636986506,3,5,4
400637355025,3,15,3
410405880391,3,22,1
410410110054,3,19,1
410413734083,3,20,2
410420502271,4,44,3
410429940580,3,9,1
410433045579,3,59,3
410436846640,0,6,2
410456862246,3,64,3
410465550088,0,28,1
410471208884,0,23,1
410471973975,3,34,1
5268246,3,9,3
5645441,3,13,2
7886703,3,10,4
9861394,5,28,2
12267679,3,21,3
140847,0,12,1
14766228,3,27,2
16248954,0,4,2
16658170,3,23,3
17596112,3,18,1
1855327,4,22,2
22539031,3,17,3
2387474,3,16,2
26587556,3,14,1
27955117,0,19,1
284008,3,15,2
31452179,4,17,2
31654174,3,19,3
31976093,3,19,2
3745350,0,45,4
400000996029,0,2554,1
